AB_Improved,AB_Custom,AB_Custom2,AB_Custom3,Batch
61.4,52.9,58.6,65.7,2
54.3,55.7,61.4,57.1,2
62.9,58.6,65.7,58.6,2
60,61.4,55.7,51.4,2
60,61.4,71.4,65.7,3
55.7,52.9,52.9,62.9,3
68.6,54.3,64.3,52.9,3
65.7,58.6,61.4,62.9,3
51.4,58.6,61.4,61.4,3
61.4,61.4,64.3,55.7,3
61.4,52.9,61.4,64.3,3
65.7,57.1,72.9,64.3,3
61.4,55.7,57.1,61.4,3
67.1,54.3,61.4,70,3
65.7,51.4,55.7,67.1,4
60,54.3,64.3,65.7,4
70,51.4,64.3,55.7,4
57.1,60,62.9,55.7,4
64.3,60,62.9,67.1,4
62.9,57.1,62.9,54.3,4
64.3,64.3,68.6,55.7,4
61.4,51.4,55.7,64.3,4
62.9,55.7,68.6,68.6,4
67.1,55.7,61.4,68.6,4
62.9,58.6,62.9,68.6,5
61.4,51.4,58.6,65.7,5
67.1,64.3,54.3,61.4,5
57.1,51.4,62.9,65.7,5
62.9,44.3,68.8,71.4,5
64.3,62.9,64.3,62.9,5
61.4,48.6,64.3,70,5
61.4,51.4,67.1,72.9,5
62.9,65.7,60,68.6,5
62.9,48.6,58.6,64.3,5
70,60,61.4,55.7,6
72.9,58.6,67.1,65.7,6
65.7,57.1,61.4,61.4,6
67.1,52.9,62.9,62.9,6
64.3,61.4,67.1,65.7,6
64.3,64.3,57.1,64.3,6
60,60,62.9,58.6,6
57.1,61.4,71.4,60,6
67.1,60,61.4,65.7,6
67.1,57.1,60,61.4,6
61.4,58.6,65.7,64.3,7
67.1,52.9,62.9,68.6,7
60,58.6,60,61.4,7
57.1,60,60,57.1,7
60,54.3,65.7,60,7
57.1,58.6,61.4,64.3,7
62.9,52.9,64.3,62.9,7
65.7,62.9,58.6,61.4,7
60,64.3,68.6,62.9,7
60,51.4,65.7,65.7,7
58.6,55.7,68.6,58.6,9
64.3,58.6,67.1,71.4,9
64.3,60,64.3,55.7,9
71.4,54.3,67.1,61.4,9
64.3,52.9,68.6,60,9
57.1,61.4,78.6,61.4,9
64.3,58.6,67.1,61.4,9
62.9,62.9,64.3,57.1,9
60,67.1,67.1,61.4,9
74.3,57.1,64.3,67.1,9
65.7,62.9,61.4,64.3,10
65.7,61.4,62.9,55.7,10
71.4,62.9,68.6,65.7,10
62.9,45.7,57.1,60,10
67.1,50,72.9,67.1,10
62.9,57.1,68.6,70,10
